,V 1.0,,,,,,,,,,,,,
46,16,Titan Tomato,ラージトマト,1,8000,3000,11,Icon_Item_Crops_041,3,9,151,1,"A brilliant tomato, ruddy red like the summer sun.
Popular for its high nutrition and health benefits.","輝く赤が夏の太陽を思わせる。
栄養価がとても高く、健康にも良い。
生食する場合は、主に冷やして食べる。
ぜひ冬に食べてみよう、何もないけど。"
35,17,Eggplant,ナス,1,950,190,5,Icon_Item_Crops_045,1,9,12,1,"A purple vegetable with a cute stem. Has a soft
texture.","紫のニヒルボーイと言ったらこいつのこと。
ふにゃっとしたヘタがかわいいが、
考えていることはずっと大人。"
5,18,Emperor Eggplant,おおきなナス,1,3500,1000,9,Icon_Item_Crops_046,3,9,151,1,"A purple vegetable with a cute stem. Has a soft
texture.","紫のニヒルボーイと言ったらこいつのこと。
ふにゃっとしたヘタがかわいいが、
考えていることはずっと大人。"
22,19,Yam,サツマイモ,1,450,140,3,Icon_Item_Crops_050,1,9,12,1,"A vegetable high in fiber that will scour your gut and
pipes.","別名「ミスタープー」
食物繊維を多く含み、お腹の中をキレイに
してくれる野菜。"
0,20,Lordly Yam,王様サツマイモ,1,2200,800,7,Icon_Item_Crops_051,3,9,151,1,"A vegetable high in fiber that will scour your gut and
pipes.","別名「ミスタープー」
食物繊維を多く含み、お腹の中をキレイに
してくれる野菜。"
23,21,Potato,ジャガイモ,1,600,90,1,Icon_Item_Crops_055,1,9,12,1,"Loved by people from around the world. Used in
various recipes from appetizers to main dishes.","広く親しまれている野菜。
さまざまな料理に使われ、主食から
前菜まで幅広く活躍するが、控えめに
「みんながいてこそです」と否定している。"
31,22,Princely Potato,超ジャガイモ,1,1600,500,5,Icon_Item_Crops_056,3,9,151,1,"Loved by people from around the world. Used in
various recipes from appetizers to main dishes.","広く親しまれている野菜。
さまざまな料理に使われ、主食から
前菜まで幅広く活躍するが、控えめに
「みんながいてこそです」と否定している。"
36,23,Carrot,ニンジン,1,2600,380,4,Icon_Item_Crops_060,1,9,12,1,"A long, thin, orange-colored root vegetable. Horses
love to eat them, snowmen love to wear them, and
children love to hate them.","オレンジ色で細長い野菜。
目の前にぶらさげると突進力が大幅に
アップすると言われている。"
20,24,Royal Carrot,皇帝ニンジン,1,7000,2000,8,Icon_Item_Crops_061,3,9,151,1,"A long, thin, orange-colored root vegetable. Horses
love to eat them, snowmen love to wear them, and
children love to hate them.","オレンジ色で細長い野菜。
目の前にぶらさげると突進力が大幅に
アップすると言われている。"
39,25,Green Pepper,ピーマン,1,700,150,5,Icon_Item_Crops_065,1,9,12,1,"Although nutritious and tasty when prepared right,
green peppers are sometimes disliked for their
bitterness.","苦味があるため、嫌われがちなピーマン。
実はとてもさびしがり屋で、そんな事実に
影でこっそり泣いている。
俺をいかしてくれよ。"
41,26,Green Pepper Rex,ビッグピーマン,1,2300,800,9,Icon_Item_Crops_066,3,9,151,1,"Although nutritious and tasty when prepared right,
green peppers are sometimes disliked for their
bitterness.","苦味があるため、嫌われがちなピーマン。
実はとてもさびしがり屋で、そんな事実に
影でこっそり泣いている。
俺をいかしてくれよ。"
44,27,Spinach,ホウレン草,1,300,65,1,Icon_Item_Crops_070,1,9,12,1,"A dark green vegetable rich in nutrients. Said to give
you strength and energy.","濃い緑色に豊富な栄養を含んだ野菜。
缶詰になったものを食べると
強くて元気になる伝説がある。"
27,28,Sovereign Spinach,大ホウレン草,1,1000,350,5,Icon_Item_Crops_071,3,9,151,1,"A dark green vegetable rich in nutrients. Said to give
you strength and energy.","濃い緑色に豊富な栄養を含んだ野菜。
缶詰になったものを食べると
強くて元気になる伝説がある。"
8,29,Turnip,カブ,1,200,30,0,Icon_Item_Crops_075,1,9,12,1,"The king of all crops. It has been through many
hardships to stay in this position. Bow down to the
turnip.","言わずと知れた牧場の王道。
王者への道はきびしく、数々の試練を
様々なテクニックで乗り越えてきた。"
2,30,Tyrant Turnip,おおきなカブ,1,800,200,4,Icon_Item_Crops_076,3,9,151,1,"The king of all crops. It has been through many
hardships to stay in this position. Bow down to the
turnip.","言わずと知れた牧場の王道。
王者への道はきびしく、数々の試練を
様々なテクニックで乗り越えてきた。"
24,31,Radish,大根,1,1580,360,2,Icon_Item_Crops_080,1,9,12,1,"A thick white daikon radish. Used in many home-
cooking recipes.","白くて太いセクシーな野菜。
味にクセがないため、色々な場面に
さりげなく登場して、みんなを安心させる。"
1,32,Noble Radish,王様大根,1,5400,2000,6,Icon_Item_Crops_081,3,9,151,1,"A thick white daikon radish. Used in many home-
cooking recipes.","白くて太いセクシーな野菜。
味にクセがないため、色々な場面に
さりげなく登場して、みんなを安心させる。"
37,33,Leek,ネギ,1,4800,1600,5,Icon_Item_Crops_085,1,9,0,1,"A must-have vegetable for winter dishes such as hot
pot.","冬の汁物にはかかせない野菜。
「コケホッホーがネギしょってきた」
ということわざがある。"
40,34,Legendary Leek,ビッグネギ,1,20000,8000,9,Icon_Item_Crops_086,3,9,151,1,"A must-have vegetable for winter dishes such as hot
pot.","冬の汁物にはかかせない野菜。
「コケホッホーがネギしょってきた」
ということわざがある。"
38,35,Bok Choy,白菜,1,1900,420,6,Icon_Item_Crops_090,1,9,12,1,"A popular winter crop. The colder it is, the sweeter it
gets!","冬に旬を迎える野菜。
寒ければ寒いほど甘みを出す
という、逆境をバネにする気合の持ち主。"
26,36,Boss Bok Choy,大白菜,1,6200,2250,10,Icon_Item_Crops_091,3,9,151,1,"A popular winter crop. The colder it is, the sweeter it
gets!","冬に旬を迎える野菜。
寒ければ寒いほど甘みを出す
という、逆境をバネにする気合の持ち主。"
45,37,Hot-Hot Fruit,ほかほかの実,1,7000,900,5,Icon_Item_Crops_096,1,9,0,1,"A spicy fruit covered in fuzz. Some use it to boil
water.","毛に包まれたような野菜。
一部の地方では、お風呂を沸かすとき
ほかほかの実を使用するという。"
15,38,Giant Hot-Hot Fruit,キングほかほかの実,1,16000,4500,9,Icon_Item_Crops_097,3,9,151,1,"A spicy fruit covered in fuzz. Some use it to boil
water.","毛に包まれたような野菜。
一部の地方では、お風呂を沸かすとき
ほかほかの実を使用するという。"
18,39,Golden Cabbage,金のキャベツ,1,50000,11500,9,Icon_Item_Crops_102,1,9,12,1,"A rare golden vegetable. Suddenly changed its
color through a mysterious power.","世にも珍しい金色の野菜。
突然、ふしぎな力がわいてきて変色した。
甘さも数倍パワーアップ！"
14,40,Golden King Cabbage,キング金のキャベツ,1,200000,52000,13,Icon_Item_Crops_103,3,9,151,1,"A rare golden vegetable. Suddenly changed its
color through a mysterious power.","世にも珍しい金色の野菜。
突然、ふしぎな力がわいてきて変色した。
甘さも数倍パワーアップ！"
17,41,Golden Pumpkin,金のカボチャ,1,20000,4000,9,Icon_Item_Crops_107,1,9,0,1,"A rare golden vegetable. It has a ghostly aura even
when uncarved and unpainted.","世にも珍しい金色の野菜。
飾りつけをしなくてもくりぬくだけで、
十分お化けに見えてしまう。"
43,42,Golden Doom Pumpkin,びっくり金のカボチャ,1,80000,18000,13,Icon_Item_Crops_108,3,9,151,1,"A rare golden vegetable. It has a ghostly aura even
when uncarved and unpainted.","世にも珍しい金色の野菜。
飾りつけをしなくてもくりぬくだけで、
十分お化けに見えてしまう。"
19,43,Golden Potato,金のジャガイモ,1,30000,6000,9,Icon_Item_Crops_112,1,9,0,1,"A rare golden vegetable. Easy to spot, as its light
shines brightly through the ground.","世にも珍しい金色の野菜。
地面に埋まっていても光がもれているため
場所がわかりやすい。"
30,44,Golden Princely Potato,超金のジャガイモ,1,100000,27000,13,Icon_Item_Crops_113,3,9,151,1,"A rare golden vegetable. Easy to spot, as its light
shines brightly through the ground.","世にも珍しい金色の野菜。
地面に埋まっていても光がもれているため
場所がわかりやすい。"
16,45,Golden Turnip,金のカブ,1,100000,20000,10,Icon_Item_Crops_117,1,9,0,1,"A rare golden vegetable invented at the request of
a certain woman. Truly the work of a madman.","世にも珍しい金色の野菜。
ある女の子のリクエストにより、
作られたという。"
3,46,Golden Tyrant Turnip,おおきな金のカブ,1,500000,90000,14,Icon_Item_Crops_118,3,9,151,1,"A rare golden vegetable invented at the request of
a certain woman. Truly the work of a madman.","世にも珍しい金色の野菜。
ある女の子のリクエストにより、
作られたという。"
28,47,Bamboo Shoot,タケノコ,1,200,40,0,Icon_Item_Crops_098,1,9,12,1,"Known for its crunchy texture and fragrant allure.
Grows quickly during spring.","コリコリした食感と香ばしい味の野菜。
成長が早く、春にはたくさんのタケノコが
畑に芽を出す。
芽が非常に強く、石をも突き破る。"
47,48,Mushroom,きのこ,1,2000,10,0,Icon_Item_Crops_130,1,9,12,1,"A wild mushroom. You'd have to eat it to confirm it's
safe. Go on. I dare you.","その辺りに生えていたきのこ。
食べても大丈夫かどうかは
君の身体のみが知る。"
48,49,Mushroom,きのこ,1,2000,10,0,Icon_Item_Crops_130,1,9,12,1,"A wild mushroom. You'd have to eat it to confirm it's
safe. Go on. I dare you.","その辺りに生えていたきのこ。
食べても大丈夫かどうかは
君の身体のみが知る。"
49,50,Mushroom,きのこ,1,2000,10,0,Icon_Item_Crops_130,1,9,12,1,"A wild mushroom. You'd have to eat it to confirm it's
safe. Go on. I dare you.","その辺りに生えていたきのこ。
食べても大丈夫かどうかは
君の身体のみが知る。"
50,51,Mushroom,きのこ,1,2000,10,0,Icon_Item_Crops_130,1,9,12,1,"A wild mushroom. You'd have to eat it to confirm it's
safe. Go on. I dare you.","その辺りに生えていたきのこ。
食べても大丈夫かどうかは
君の身体のみが知る。"
51,52,Mushroom,きのこ,1,2000,10,0,Icon_Item_Crops_130,1,9,12,1,"A wild mushroom. You'd have to eat it to confirm it's
safe. Go on. I dare you.","その辺りに生えていたきのこ。
食べても大丈夫かどうかは
君の身体のみが知る。"
52,53,Mushroom,きのこ,1,2000,10,0,Icon_Item_Crops_130,1,9,12,1,"A wild mushroom. You'd have to eat it to confirm it's
safe. Go on. I dare you.","その辺りに生えていたきのこ。
食べても大丈夫かどうかは
君の身体のみが知る。"
53,54,Monarch Mushroom,極上きのこ,1,50000,10000,8,Icon_Item_Crops_130,3,9,151,1,"The most humongous fungus among us. Has such a
profound flavor that it's considered the fun guy of
fungi.","素晴らしいきのこ。
おいしそうな匂いから
他のきのことは違うことがすぐにわかる。"
62,55,Starfall Strawberry,流星のイチゴ,2,50000,10000,5,Icon_Item_Crops_321,3,9,151,0,"An out-of-this-world strawberry that only grows from
starfall seeds planted in the spring. An interplanetary
delight!","流星が現れた翌日に流星から取れる種から春にだけ育つ
とってもスターダストなイチゴ。"
63,56,Starfall Corn,流星のトウモロコシ,1,50000,10000,5,Icon_Item_Crops_322,3,9,151,0,"Out-of-this-world corn that only grows from starfall
seeds planted in the summer. An interplanetary
delight!","流星が現れた翌日に流星から取れる種から夏にだけ育つ
とってもスターダストなトウモロコシ。"
64,57,Starfall Pumpkin,流星のカボチャ,1,50000,10000,7,Icon_Item_Crops_323,3,9,151,0,"An out-of-this-world pumpkin that only grows from
starfall seeds planted in the autumn. An
interplanetary delight!","流星が現れた翌日に流星から取れる種から秋にだけ育つ
とってもスターダストなカボチャ。"
65,58,Starfall Potato,流星のジャガイモ,1,50000,10000,6,Icon_Item_Crops_324,3,9,151,0,"An out-of-this-world potato that only grows from
starfall seeds planted in the winter. An interplanetary
delight!","流星が現れた翌日に流星から取れる種から冬にだけ育つ
とってもスターダストなジャガイモ。"
59,100,Grape,ブドウ,2,650,120,5,Icon_Item_Crops_148,1,9,55,1,"Small purple fruits growing in clusters. Sweet and
juicy. They say that royalty would hire servants to
pluck these piece-by-piece for them out of laziness.","紫色の小さな実が房状に実った果物。
甘い実が集まっている姿は
まさに甘味のカーニバル。"
61,101,Apple,リンゴ,2,850,150,5,Icon_Item_Crops_149,1,9,30,1,"A pretty red fruit high in nutrition. Known for the old
saying, ""An apple a day keeps the doctor away.""","真っ赤な果実のスイートプリティーガール。
医者いらずと言われるほど栄養もたくさん。
唯一の悩みは、人々をとりこにしすぎる
自分自身の魅力。"
60,102,Mealy Apple,無力のリンゴ,2,9000,3000,15,Icon_Item_Crops_151,1,9,151,1,"Eww, gross! This rotten fruit makes you very, very
weak.","食べると非常に弱くなる。
無法者に与え、無力化させる神の果実。"
55,103,Orange,オレンジ,2,500,80,5,Icon_Item_Crops_150,1,9,55,1,"A fruit that strikes a good balance between sweet
and sour. The taste puts the ""fresh"" in ""refreshing.""","ほどよい甘さとすっぱさをあわせ持つ
多才なスーパーオレンジ。
美味しくみずみずしい。
アイツはいつみてもフレッシュ。"
54,104,Strawberry,イチゴ,2,800,135,4,Icon_Item_Crops_135,1,9,12,1,"The red fairy of the dining table. Its sweet and sour
kiss never fails to attract people.","テーブル上の赤い妖精。
ほの酸っぱい甘さと、ひとくちサイズの実が
食したものを魅了する。"
57,105,Sultan Strawberry,スゴイチゴ,2,2500,700,8,Icon_Item_Crops_136,3,9,151,1,"The red fairy of the dining table. Its sweet and sour
kiss never fails to attract people.","テーブル上の赤い妖精。
ほの酸っぱい甘さと、ひとくちサイズの実が
食したものを魅了する。"
58,106,Pineapple,パイナップル,2,8500,1600,8,Icon_Item_Crops_141,1,9,0,1,"Tropical fruit with a hint of sourness hidden amidst its
sweet flavor. Feel the tropical sun!","南の国から伝わってきた果物。
甘くさわやかな酸味があり、匂いをかげば
気分は常夏。"
56,107,King Pineapple,キングパイナップル,2,28000,8000,12,Icon_Item_Crops_142,3,9,151,1,"Tropical fruit with a hint of sourness hidden amidst its
sweet flavor. Feel the tropical sun!","南の国から伝わってきた果物。
甘くさわやかな酸味があり、匂いをかげば
気分は常夏。"
101,150,Toyherb,トイハーブ,3,250,65,0,Icon_Item_Crops_157,1,9,12,0,"An herb that promotes good health. Hard to grow,
but cures fatigue.","健康にいいとされる薬味。
育てるのが少し大変。
食べると疲労が治る。"
98,151,Ultra Toyherb,超トイハーブ,3,1500,350,4,Icon_Item_Crops_158,3,9,151,0,"A flower that promotes good health. Hard to grow,
but cures fatigue.","健康にいいとされる薬味。
育てるのが少し大変。
食べると疲労が治る。"
108,152,Moondrop Flower,ムーンドロップ草,3,400,115,1,Icon_Item_Crops_162,1,9,12,0,"A unique and beautiful yellow flower that grows in
the moonlight. Symbolizes togetherness.","月明かりで育つ不思議な草。
月から零れ落ちてきたかの
ような美しく黄色い花が咲く。
花言葉は「いつもあなたのそばに」"
94,153,Ultra Moondrop,大ムーンドロップ草,3,2000,650,5,Icon_Item_Crops_163,3,9,151,0,"A unique and beautiful yellow flower that grows in
the moonlight. Symbolizes togetherness.","月明かりで育つ不思議な草。
月から零れ落ちてきたかの
ような美しく黄色い花が咲く。
花言葉は「いつもあなたのそばに」"
105,154,Pink Cat,ピンクキャット,3,450,110,2,Icon_Item_Crops_167,1,9,12,0,"Flower with vibrant pink blossoms. Named ""cat"" for its
pawsitively purr-fect cuteness.","鮮やかなピンク色の草。
つぼみが小さく、かわいらしいため、
「キャット」の名で呼ばれるようになった。"
82,155,King Pink Cat,キングピンクキャット,3,2200,600,6,Icon_Item_Crops_168,3,9,151,0,"Flower with vibrant pink blossoms. Named ""cat"" for its
pawsitively purr-fect cuteness.","鮮やかなピンク色の草。
つぼみが小さく、かわいらしいため、
「キャット」の名で呼ばれるようになった。"
96,156,Charm Blue,チャームブルー,3,800,220,3,Icon_Item_Crops_172,1,9,12,0,"A deep blue flower. Practically swallows you into its
beautiful blossoms.","深い青色をした草。
つぼみがとても大きく、色とあわせて、
吸い込まれてしまいそうになる。"
92,157,Great Charm Blue,大チャームブルー,3,4000,1200,7,Icon_Item_Crops_173,3,9,151,0,"A deep blue flower. Practically swallows you into its
beautiful blossoms.","深い青色をした草。
つぼみがとても大きく、色とあわせて、
吸い込まれてしまいそうになる。"
85,158,Cherry Grass,サクラ草,3,700,230,3,Icon_Item_Crops_190,1,9,12,0,"A plant that works hard to be prettier than all the
other flowers. Other flowers sometimes sneer, but
they're just jealous. Can be found in spring.","ピンクの花をつける植物。
春の風物詩。"
80,159,King Cherry Grass,キングサクラ草,3,3800,1200,7,Icon_Item_Crops_191,3,9,151,0,"A plant that works hard to be prettier than all the
other flowers. Other flowers sometimes sneer, but
they're just jealous. Can be found in spring.","ピンクの花をつける植物。
春の風物詩。"
114,160,Lamp Grass,ランプ草,3,2000,650,4,Icon_Item_Crops_195,1,9,0,0,"A grass with luminous powder all throughout its
blossomed stem. Has a strong calming effect.","つぼみの中には、輝く粉がつまっている。
見ていると、とても落ち着いた気分になり、
リラックスさせる効果があるのかも。"
77,161,Kaiser Lamp Grass,カイザーランプ草,3,8500,3250,8,Icon_Item_Crops_196,3,9,151,0,"A grass with luminous powder all throughout its
blossomed stem. Has a strong calming effect.","つぼみの中には、輝く粉がつまっている。
見ていると、とても落ち着いた気分になり、
リラックスさせる効果があるのかも。"
68,162,Blue Crystal Flower,青水晶,3,40000,15000,8,Icon_Item_Crops_201,1,9,0,0,"A flower made of rune crystals that mixed together
in the ground. Appears blue during spring.","ルーンの結晶が地中に集まってできた花。
季節で花の色が違い、春は青の花が開く。"
72,163,Big Blue Crystal Flower,おおきな青水晶,3,200000,67500,12,Icon_Item_Crops_202,3,9,151,0,"A flower made of rune crystals that mixed together
in the ground. Appears blue during spring.","ルーンの結晶が地中に集まってできた花。
季節で花の色が違い、春は青の花が開く。"
84,164,Emery Flower,金剛花,3,500000,55000,10,Icon_Item_Crops_207,1,9,0,0,"A unique golden flower that's extremely tough and
resilient. Don't step on it or it'll really hurt!","すべてが金色の花。
とても頑丈な花で、枯れにくい。
見た目通り硬く、転んだ先に生えていると
痛い思いをする。"
90,165,Great Emery Flower,大金剛花,3,1000000,250000,15,Icon_Item_Crops_208,3,9,151,0,"A unique golden flower that's extremely tough and
resilient. Don't step on it or it'll really hurt!","すべてが金色の花。
とても頑丈な花で、枯れにくい。
見た目通り硬く、転んだ先に生えていると
痛い思いをする。"
100,166,Ironleaf,鉄千輪,3,4444,1111,4,Icon_Item_Crops_212,1,9,0,0,"A plant with only around 100 spikes. It gained its
unique shape by collecting iron from the ground.","とげとげの形をした草。
中心にある草が、地中の鉄分を集め
特徴的な形状を作り出す。
実際は１００本程度しかとげがない。"
97,167,Ultra Ironleaf,超鉄千輪,3,22222,5555,8,Icon_Item_Crops_213,3,9,151,0,"A plant with 1,000 spikes. It gained its unique shape
by collecting iron from the ground.","とげとげの形をした草。
中心にある草が、地中の鉄分を集め
特徴的な形状を作り出す。
本当に１０００本とげがある。"
111,168,4-Leaf Clover,四つ葉のクローバー,3,4000,980,4,Icon_Item_Crops_217,1,9,0,0,"A plant which brings you good luck. Carry it around
or make it a gift, and happiness will follow you!","幸せのラッキーアイテム。
持っていてもハッピー。
プレゼントしてもハッピーで、ハッピッピー。"
112,169,Great 4-Leaf Clover,四つ葉の大クローバー,3,20000,5000,8,Icon_Item_Crops_218,3,9,151,0,"A plant which brings you good luck. Carry it around
or make it a gift, and happiness will follow you!","幸せのラッキーアイテム。
持っていてもハッピー。
プレゼントしてもハッピーで、ハッピッピー。"
103,170,Fireflower,野之花火,3,10000,2800,6,Icon_Item_Crops_223,1,9,0,0,"A flower with a unique shape. Also called ""mountain
fireworks."" You can almost hear the sounds of
exploding powder when you pluck it.","花の形がとても特徴的。
『野山に咲く花火』として親しまれている。
耳をすませば花火の音が。"
75,171,Big Fireflower,おおきな野之花火,3,50000,14000,10,Icon_Item_Crops_224,3,9,151,0,"A flower with a unique shape. Also called ""mountain
fireworks."" You can almost hear the sounds of
exploding powder when you pluck it.","花の形がとても特徴的。
『野山に咲く花火』として親しまれている。
耳をすませば花火の音が。"
106,172,Green Crystal Flower,緑水晶,3,48000,17000,8,Icon_Item_Crops_229,1,9,0,0,"A flower made of rune crystals that mixed together
in the ground. Appears green during summer.","ルーンの結晶が地中に集まってできた花。
季節で花の色が違い、夏は緑の花が開く。"
76,173,Big Green Crystal Flower,おおきな緑水晶,3,240000,76500,12,Icon_Item_Crops_230,3,9,151,0,"A flower made of rune crystals that mixed together
in the ground. Appears green during summer.","ルーンの結晶が地中に集まってできた花。
季節で花の色が違い、夏は緑の花が開く。"
99,174,Noel Grass,ツリー草,3,6660,2000,6,Icon_Item_Crops_235,1,9,0,0,"A weirdly tree-shaped plant. Fun to decorate in
winter.","草なのに木の形をした草。
冬になると、ツリー草に飾りつけをして
テーブルの上にも置いたりする。"
113,175,Large Noel Grass,ラージツリー草,3,33300,10000,10,Icon_Item_Crops_236,3,9,151,0,"A weirdly tree-shaped plant. Fun to decorate in
winter.","草なのに木の形をした草。
冬になると、ツリー草に飾りつけをして
テーブルの上にも置いたりする。"
104,176,Autumn Grass,花紅葉,3,6000,1800,5,Icon_Item_Crops_241,1,9,0,0,"A plant which grows colorful flowers. Named for its
autumnal color scheme.","鮮やかな色の花を咲かせる草。
花がまるで紅葉しているように見えるため
花紅葉と呼ばれるようになった。"
93,177,Great Autumn Grass,大花紅葉,3,30000,9000,9,Icon_Item_Crops_242,3,9,151,0,"A plant which grows colorful flowers. Named for its
autumnal color scheme.","鮮やかな色の花を咲かせる草。
花がまるで紅葉しているように見えるため
花紅葉と呼ばれるようになった。"
95,178,Pom-Pom Grass,タンポイズン,3,1500,440,4,Icon_Item_Crops_246,1,9,12,0,"Has white cotton-like flowers in its center. Looks cute
like a dandelion, but is poisonous, so say no to the
blow!","中心に白く小さい綿のような花が咲く。
綿はかわいく見えても毒を持つので注意。
息を軽く吹きかけると、花が風に乗って
空を舞うので、さらに危険。"
81,179,King Pom-Pom Grass,キングタンポイズン,3,7000,2300,8,Icon_Item_Crops_247,3,9,151,0,"Has white cotton-like flowers in its center. Looks cute
like a dandelion, but is poisonous, so say no to the
blow!","中心に白く小さい綿のような花が咲く。
綿はかわいく見えても毒を持つので注意。
息を軽く吹きかけると、花が風に乗って
空を舞うので、さらに危険。"
70,180,Red Crystal Flower,赤水晶,3,56000,20000,8,Icon_Item_Crops_252,1,9,0,0,"A flower made of rune crystals that mixed together
in the ground. Appears red during autumn.","ルーンの結晶が地中に集まってできた花。
季節で花の色が違い、秋は赤の花が開く。"
73,181,Big Red Crystal Flower,おおきな赤水晶,3,280000,90000,12,Icon_Item_Crops_253,3,9,151,0,"A flower made of rune crystals that mixed together
in the ground. Appears red during autumn.","ルーンの結晶が地中に集まってできた花。
季節で花の色が違い、秋は赤の花が開く。"
89,182,White Crystal Flower,白水晶,3,80000,22500,8,Icon_Item_Crops_258,1,9,0,0,"A flower made of rune crystals that mixed together
in the ground. Appears white during winter.","ルーンの結晶が地中に集まってできた花。
季節で花の色が違い、冬は白の花が開く。"
74,183,Big White Crystal Flower,おおきな白水晶,3,400000,101500,12,Icon_Item_Crops_259,3,9,151,0,"A flower made of rune crystals that mixed together
in the ground. Appears white during winter.","ルーンの結晶が地中に集まってできた花。
季節で花の色が違い、冬は白の花が開く。"
